,ID hecho,AAA,MM,DD,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD
0,LC-2019-0000053,2019,1,1,SD,MASCULINO,57,SD
1,LC-2019-0000063,2019,1,1,SD,SD,0,SD
2,LC-2019-0000079,2019,1,1,SD,MASCULINO,0,SD
3,LC-2019-0000082,2019,1,1,SD,MASCULINO,45,SD
4,LC-2019-0000082,2019,1,1,SD,FEMENINO,45,SD
5,LC-2019-0000082,2019,1,1,SD,MASCULINO,27,SD
6,LC-2019-0000082,2019,1,1,SD,FEMENINO,32,SD
7,LC-2019-0000136,2019,1,1,SD,MASCULINO,21,SD
8,LC-2019-0000136,2019,1,1,SD,FEMENINO,21,SD
9,LC-2019-0000142,2019,1,1,SD,MASCULINO,37,SD
10,LC-2019-0000179,2019,1,1,SD,SD,0,SD
11,LC-2019-0000194,2019,1,1,SD,FEMENINO,33,SD
12,LC-2019-0000202,2019,1,1,SD,MASCULINO,25,SD
13,LC-2019-0000329,2019,1,1,SD,MASCULINO,23,SD
14,LC-2019-0000347,2019,1,1,SD,MASCULINO,0,SD
15,LC-2019-0000445,2019,1,1,SD,MASCULINO,42,SD
16,LC-2019-0000445,2019,1,1,SD,FEMENINO,42,SD
17,LC-2019-0000445,2019,1,1,SD,MASCULINO,37,SD
18,LC-2019-0000493,2019,1,1,SD,MASCULINO,53,SD
19,LC-2019-0000600,2019,1,1,SD,FEMENINO,1,SD
20,LC-2019-0000636,2019,1,1,SD,FEMENINO,62,SD
21,LC-2019-0000647,2019,1,1,SD,MASCULINO,0,SD
22,LC-2019-0000686,2019,1,1,SD,FEMENINO,67,SD
23,LC-2019-0005235,2019,1,1,SD,FEMENINO,75,SD
24,LC-2019-0000928,2019,1,2,SD,FEMENINO,40,SD
25,LC-2019-0000963,2019,1,2,SD,FEMENINO,48,SD
26,LC-2019-0000963,2019,1,2,SD,MASCULINO,48,SD
27,LC-2019-0000963,2019,1,2,SD,FEMENINO,27,SD
28,LC-2019-0000963,2019,1,2,SD,FEMENINO,3,SD
29,LC-2019-0000963,2019,1,2,SD,FEMENINO,33,SD
30,LC-2019-0001754,2019,1,2,SD,FEMENINO,49,SD
31,LC-2019-0001879,2019,1,2,SD,SD,0,SD
32,LC-2019-0001948,2019,1,2,SD,MASCULINO,0,SD
33,LC-2019-0547054,2019,9,1,SD,MASCULINO,25,SD
34,LC-2019-0001992,2019,1,2,SD,MASCULINO,34,SD
35,LC-2019-0002083,2019,1,2,SD,MASCULINO,27,SD
36,LC-2019-0002208,2019,1,2,SD,MASCULINO,34,SD
37,LC-2019-0002218,2019,1,2,SD,MASCULINO,52,SD
38,LC-2019-0002740,2019,1,2,SD,MASCULINO,44,SD
39,LC-2019-0003220,2019,1,2,SD,FEMENINO,28,SD
40,LC-2019-0003220,2019,1,2,SD,MASCULINO,28,SD
41,LC-2019-0003340,2019,1,2,SD,SD,0,SD
42,LC-2019-0005610,2019,1,2,SD,MASCULINO,59,SD
43,LC-2019-0020183,2019,1,2,SD,MASCULINO,50,SD
44,LC-2019-0022496,2019,1,2,SD,MASCULINO,73,SD
45,LC-2019-0003428,2019,1,3,SD,MASCULINO,45,SD
46,LC-2019-0816662,2019,12,24,SD,MASCULINO,26,SD
47,LC-2019-0025711,2019,1,13,SD,MASCULINO,32,SD
48,LC-2019-0003642,2019,1,3,SD,MASCULINO,51,SD
49,LC-2019-0003787,2019,1,3,SD,MASCULINO,48,SD
50,LC-2019-0003862,2019,1,3,SD,FEMENINO,37,SD
51,LC-2019-0003862,2019,1,3,SD,MASCULINO,37,SD
52,LC-2019-0003884,2019,1,3,SD,FEMENINO,0,SD
53,LC-2019-0004144,2019,1,3,SD,MASCULINO,16,SD
54,LC-2019-0004229,2019,1,3,SD,FEMENINO,43,SD
55,LC-2019-0004442,2019,1,3,SD,FEMENINO,38,SD
56,LC-2019-0004442,2019,1,3,SD,MASCULINO,38,SD
57,LC-2019-0004565,2019,1,3,SD,FEMENINO,0,SD
58,LC-2019-0004621,2019,1,3,SD,MASCULINO,0,SD
59,LC-2019-0004622,2019,1,3,SD,FEMENINO,0,SD
60,LC-2019-0004652,2019,1,3,SD,MASCULINO,28,SD
61,LC-2019-0004717,2019,1,3,SD,MASCULINO,45,SD
62,LC-2019-0004718,2019,1,3,SD,MASCULINO,51,SD
63,LC-2019-0005334,2019,1,3,SD,MASCULINO,33,SD
64,LC-2019-0005614,2019,1,3,SD,MASCULINO,43,SD
65,LC-2019-0005622,2019,1,3,SD,FEMENINO,64,SD
66,LC-2019-0005638,2019,1,3,SD,MASCULINO,36,SD
67,LC-2019-0005638,2019,1,3,SD,FEMENINO,36,SD
68,LC-2019-0005647,2019,1,3,SD,MASCULINO,45,SD
69,LC-2019-0005681,2019,1,3,SD,FEMENINO,0,SD
70,LC-2019-0005764,2019,1,3,SD,MASCULINO,84,SD
71,LC-2019-0005815,2019,1,3,SD,MASCULINO,22,SD
72,LC-2019-0005979,2019,1,3,SD,MASCULINO,26,SD
73,LC-2019-0654194,2019,10,19,SD,MASCULINO,32,SD
74,LC-2019-0006068,2019,1,4,SD,FEMENINO,20,SD
75,LC-2019-0006306,2019,1,4,SD,MASCULINO,0,SD
76,LC-2019-0006547,2019,1,4,SD,MASCULINO,38,SD
77,LC-2019-0006638,2019,1,4,SD,MASCULINO,37,SD
78,LC-2019-0006638,2019,1,4,SD,MASCULINO,37,SD
79,LC-2019-0006659,2019,1,4,SD,MASCULINO,48,SD
80,LC-2019-0006789,2019,1,4,SD,FEMENINO,5,SD
81,LC-2019-0006837,2019,1,4,SD,FEMENINO,0,SD
82,LC-2019-0006857,2019,1,4,SD,FEMENINO,0,SD
83,LC-2019-0007002,2019,1,4,SD,MASCULINO,0,SD
84,LC-2019-0007021,2019,1,4,SD,MASCULINO,34,SD
85,LC-2019-0007294,2019,1,4,SD,MASCULINO,39,SD
86,LC-2019-0007336,2019,1,4,SD,MASCULINO,0,SD
87,LC-2019-0007536,2019,1,4,SD,FEMENINO,28,SD
88,LC-2019-0007634,2019,1,4,SD,MASCULINO,0,SD
89,LC-2019-0007660,2019,1,4,SD,MASCULINO,23,SD
90,LC-2019-0007701,2019,1,4,SD,MASCULINO,34,SD
91,LC-2019-0007778,2019,1,4,SD,FEMENINO,56,SD
92,LC-2019-0008077,2019,1,4,SD,FEMENINO,44,SD
93,LC-2019-0008227,2019,1,4,SD,FEMENINO,26,SD
94,LC-2019-0008238,2019,1,4,SD,FEMENINO,69,SD
95,LC-2019-0008238,2019,1,4,SD,FEMENINO,69,SD
96,LC-2019-0008283,2019,1,4,SD,MASCULINO,26,SD
97,LC-2019-0008283,2019,1,4,SD,FEMENINO,26,SD
98,LC-2019-0008314,2019,1,4,SD,FEMENINO,55,SD
99,LC-2019-0008367,2019,1,4,SD,MASCULINO,46,SD
100,LC-2019-0008388,2019,1,4,SD,FEMENINO,0,SD
101,LC-2019-0008388,2019,1,4,SD,FEMENINO,0,SD
102,LC-2019-0008388,2019,1,4,SD,FEMENINO,34,SD
103,LC-2019-0008467,2019,1,4,SD,MASCULINO,29,SD
104,LC-2019-0008493,2019,1,4,SD,FEMENINO,34,SD
105,LC-2019-0008496,2019,1,4,SD,MASCULINO,0,SD
106,LC-2019-0008565,2019,1,4,SD,MASCULINO,34,SD
107,LC-2019-0008566,2019,1,4,SD,MASCULINO,26,SD
108,LC-2019-0011897,2019,1,4,SD,FEMENINO,38,SD
109,LC-2019-0017883,2019,1,4,SD,MASCULINO,53,SD
110,LC-2019-0020135,2019,1,4,SD,MASCULINO,23,SD
111,LC-2019-0020930,2019,1,4,SD,MASCULINO,28,SD
112,LC-2019-0267364,2019,1,4,SD,MASCULINO,41,SD
113,LC-2019-0314341,2019,5,20,SD,MASCULINO,56,SD
114,LC-2019-0008603,2019,1,5,SD,MASCULINO,43,SD
115,LC-2019-0008860,2019,1,5,SD,MASCULINO,67,SD
116,LC-2019-0008860,2019,1,5,SD,MASCULINO,67,SD
117,LC-2019-0008860,2019,1,5,SD,MASCULINO,40,SD
118,LC-2019-0008916,2019,1,5,SD,MASCULINO,33,SD
119,LC-2019-0008924,2019,1,5,SD,MASCULINO,0,SD
120,LC-2019-0008974,2019,1,5,SD,FEMENINO,29,SD
121,LC-2019-0009068,2019,1,5,SD,MASCULINO,54,SD
122,LC-2019-0009123,2019,1,5,SD,MASCULINO,51,SD
123,LC-2019-0009194,2019,1,5,SD,MASCULINO,33,SD
124,LC-2019-0009305,2019,1,5,SD,MASCULINO,42,SD
125,LC-2019-0009312,2019,1,5,SD,FEMENINO,74,SD
126,LC-2019-0009325,2019,1,5,SD,MASCULINO,70,SD
127,LC-2019-0009392,2019,1,5,SD,FEMENINO,40,SD
128,LC-2019-0009580,2019,1,5,SD,FEMENINO,6,SD
129,LC-2019-0009722,2019,1,5,SD,FEMENINO,30,SD
130,LC-2019-0025772,2019,1,13,SD,MASCULINO,0,SD
131,LC-2019-0010031,2019,1,5,SD,MASCULINO,28,SD
132,LC-2019-0010621,2019,1,5,SD,FEMENINO,12,SD
133,LC-2019-0012840,2019,1,5,SD,FEMENINO,83,SD
134,LC-2019-0052387,2019,1,5,SD,MASCULINO,27,SD
135,LC-2019-0010050,2019,1,6,SD,MASCULINO,24,SD
136,LC-2019-0010105,2019,1,6,SD,MASCULINO,27,SD
137,LC-2019-0010145,2019,1,6,SD,FEMENINO,35,SD
138,LC-2019-0010228,2019,1,6,SD,MASCULINO,12,SD
139,LC-2019-0010301,2019,1,6,SD,MASCULINO,12,SD
140,LC-2019-0010436,2019,1,6,SD,MASCULINO,12,SD
141,LC-2019-0010436,2019,1,6,SD,MASCULINO,12,SD
142,LC-2019-0010649,2019,1,6,SD,MASCULINO,12,SD
143,LC-2019-0010661,2019,1,6,SD,MASCULINO,12,SD
144,LC-2019-0010730,2019,1,6,SD,FEMENINO,12,SD
145,LC-2019-0010814,2019,1,6,SD,MASCULINO,12,SD
146,LC-2019-0010884,2019,1,6,SD,MASCULINO,12,SD
147,LC-2019-0010884,2019,1,6,SD,FEMENINO,12,SD
148,LC-2019-0010983,2019,1,6,SD,FEMENINO,44,SD
149,LC-2019-0010983,2019,1,6,SD,FEMENINO,44,SD
150,LC-2019-0011004,2019,1,7,SD,MASCULINO,70,SD
151,LC-2019-0011053,2019,1,7,SD,MASCULINO,29,SD
152,LC-2019-0011092,2019,1,7,SD,MASCULINO,64,SD
153,LC-2019-0011335,2019,1,7,SD,MASCULINO,27,SD
154,LC-2019-0011431,2019,1,7,SD,MASCULINO,68,SD
155,LC-2019-0153972,2019,3,13,SD,MASCULINO,49,SD
156,LC-2019-0011575,2019,1,7,SD,MASCULINO,21,SD
157,LC-2019-0153972,2019,3,13,SD,MASCULINO,0,SD
158,LC-2019-0011908,2019,1,7,SD,MASCULINO,15,SD
159,LC-2019-0012172,2019,1,7,SD,MASCULINO,22,SD
160,LC-2019-0012293,2019,1,7,SD,MASCULINO,22,SD
161,LC-2019-0012508,2019,1,7,SD,MASCULINO,22,SD
162,LC-2019-0012578,2019,1,7,SD,FEMENINO,74,SD
163,LC-2019-0012580,2019,1,7,SD,MASCULINO,38,SD
164,LC-2019-0012638,2019,1,7,SD,MASCULINO,34,SD
165,LC-2019-0082237,2019,2,8,SD,MASCULINO,31,SD
166,LC-2019-0012823,2019,1,7,SD,MASCULINO,19,SD
167,LC-2019-0013193,2019,1,7,SD,MASCULINO,27,SD
168,LC-2019-0013235,2019,1,7,SD,MASCULINO,45,SD
169,LC-2019-0463737,2019,7,26,SD,MASCULINO,30,SD
170,LC-2019-0013370,2019,1,7,SD,MASCULINO,30,SD
171,LC-2019-0013412,2019,1,7,SD,FEMENINO,9,SD
172,LC-2019-0013412,2019,1,7,SD,MASCULINO,9,SD
173,LC-2019-0013440,2019,1,7,SD,FEMENINO,49,SD
174,LC-2019-0013452,2019,1,7,SD,MASCULINO,39,SD
175,LC-2019-0013589,2019,1,7,SD,MASCULINO,75,SD
176,LC-2019-0013652,2019,1,7,SD,FEMENINO,35,SD
177,LC-2019-0013652,2019,1,7,SD,FEMENINO,35,SD
178,LC-2019-0013652,2019,1,7,SD,FEMENINO,2,SD
179,LC-2019-0013652,2019,1,7,SD,MASCULINO,26,SD
180,LC-2019-0013857,2019,1,7,SD,MASCULINO,13,SD
181,LC-2019-0013857,2019,1,7,SD,FEMENINO,13,SD
182,LC-2019-0015962,2019,1,7,SD,MASCULINO,6,SD
183,LC-2019-0021745,2019,1,7,SD,MASCULINO,75,SD
184,LC-2019-0013801,2019,1,8,SD,MASCULINO,39,SD
185,LC-2019-0013840,2019,1,8,SD,MASCULINO,22,SD
186,LC-2019-0013850,2019,1,8,SD,FEMENINO,29,SD
187,LC-2019-0014140,2019,1,8,SD,MASCULINO,9,SD
188,LC-2019-0014220,2019,1,8,SD,MASCULINO,32,SD
189,LC-2019-0014314,2019,1,8,SD,MASCULINO,42,SD
190,LC-2019-0014442,2019,1,8,SD,MASCULINO,83,SD
191,LC-2019-0014448,2019,1,8,SD,MASCULINO,62,SD
192,LC-2019-0014503,2019,1,8,SD,MASCULINO,62,SD
193,LC-2019-0014534,2019,1,8,SD,SD,18,SD
194,LC-2019-0014580,2019,1,8,SD,MASCULINO,18,SD
195,LC-2019-0014644,2019,1,8,SD,MASCULINO,29,SD
196,LC-2019-0014644,2019,1,8,SD,MASCULINO,29,SD
197,LC-2019-0014787,2019,1,8,SD,FEMENINO,30,SD
198,LC-2019-0014790,2019,1,8,SD,MASCULINO,30,SD
199,LC-2019-0014956,2019,1,8,SD,MASCULINO,32,SD
200,LC-2019-0015085,2019,1,8,SD,MASCULINO,41,SD
201,LC-2019-0015193,2019,1,8,SD,MASCULINO,64,SD
202,LC-2019-0015241,2019,1,8,SD,FEMENINO,64,SD
203,LC-2019-0015361,2019,1,8,SD,MASCULINO,33,SD
204,LC-2019-0015585,2019,1,8,SD,MASCULINO,31,SD
205,LC-2019-0015614,2019,1,8,SD,FEMENINO,31,SD
206,LC-2019-0006068,2019,1,4,SD,MASCULINO,20,SD
207,LC-2019-0015700,2019,1,8,SD,MASCULINO,34,SD
208,LC-2019-0015822,2019,1,8,SD,MASCULINO,5,SD
209,LC-2019-0015879,2019,1,8,SD,SD,6,SD
210,LC-2019-0016012,2019,1,8,SD,FEMENINO,17,SD
211,LC-2019-0016105,2019,1,8,SD,MASCULINO,40,SD
212,LC-2019-0016278,2019,1,8,SD,MASCULINO,40,SD
213,LC-2019-0016388,2019,1,9,SD,MASCULINO,0,SD
214,LC-2019-0016388,2019,1,9,SD,FEMENINO,0,SD
215,LC-2019-0016581,2019,1,9,SD,MASCULINO,58,SD
216,LC-2019-0016613,2019,1,9,SD,MASCULINO,42,SD
217,LC-2019-0017068,2019,1,9,SD,MASCULINO,58,SD
218,LC-2019-0017068,2019,1,9,SD,FEMENINO,58,SD
219,LC-2019-0017068,2019,1,9,SD,FEMENINO,43,SD
220,LC-2019-0017068,2019,1,9,SD,FEMENINO,24,SD
221,LC-2019-0017182,2019,1,9,SD,MASCULINO,33,SD
222,LC-2019-0017186,2019,1,9,SD,MASCULINO,24,SD
223,LC-2019-0017460,2019,1,9,SD,MASCULINO,35,SD
224,LC-2019-0017504,2019,1,9,SD,MASCULINO,0,SD
225,LC-2019-0017514,2019,1,9,SD,MASCULINO,70,SD
226,LC-2019-0017514,2019,1,9,SD,MASCULINO,70,SD
227,LC-2019-0017561,2019,1,9,SD,MASCULINO,38,SD
228,LC-2019-0018006,2019,1,9,SD,MASCULINO,24,SD
229,LC-2019-0018207,2019,1,9,SD,FEMENINO,33,SD
230,LC-2019-0018425,2019,1,9,SD,MASCULINO,38,SD
231,LC-2019-0018474,2019,1,9,SD,MASCULINO,58,SD
232,LC-2019-0018500,2019,1,9,SD,MASCULINO,34,SD
233,LC-2019-0018518,2019,1,9,SD,MASCULINO,41,SD
234,LC-2019-0018592,2019,1,9,SD,FEMENINO,0,SD
235,LC-2019-0018630,2019,1,9,SD,FEMENINO,0,SD
236,LC-2019-0018751,2019,1,9,SD,MASCULINO,43,SD
237,LC-2019-0021352,2019,1,9,SD,MASCULINO,18,SD
238,LC-2019-0022439,2019,1,9,SD,MASCULINO,40,SD
239,LC-2019-0030754,2019,1,9,SD,MASCULINO,31,SD
240,LC-2019-0031883,2019,1,9,SD,FEMENINO,55,SD
241,LC-2019-0018873,2019,1,10,SD,MASCULINO,49,SD
242,LC-2019-0019243,2019,1,10,SD,MASCULINO,29,SD
243,LC-2019-0020257,2019,1,10,SD,FEMENINO,42,SD
244,LC-2019-0020260,2019,1,10,SD,MASCULINO,26,SD
245,LC-2019-0020420,2019,1,10,SD,SD,0,SD
246,LC-2019-0020451,2019,1,10,SD,MASCULINO,54,SD
247,LC-2019-0020496,2019,1,10,SD,FEMENINO,62,SD
248,LC-2019-0020569,2019,1,10,SD,MASCULINO,24,SD
249,LC-2019-0020951,2019,1,10,SD,MASCULINO,12,SD
250,LC-2019-0020989,2019,1,10,SD,MASCULINO,33,SD
251,LC-2019-0021079,2019,1,10,SD,MASCULINO,34,SD
252,LC-2019-0021335,2019,1,10,SD,MASCULINO,39,SD
253,LC-2019-0021415,2019,1,10,SD,MASCULINO,31,SD
254,LC-2019-0093543,2019,1,10,SD,MASCULINO,36,SD
255,LC-2019-0021365,2019,1,11,SD,MASCULINO,42,SD
256,LC-2019-0021365,2019,1,11,SD,MASCULINO,42,SD
257,LC-2019-0021365,2019,1,11,SD,FEMENINO,28,SD
258,LC-2019-0021434,2019,1,11,SD,MASCULINO,24,SD
259,LC-2019-0021709,2019,1,11,SD,MASCULINO,60,SD
260,LC-2019-0021896,2019,1,11,SD,MASCULINO,0,SD
261,LC-2019-0021896,2019,1,11,SD,MASCULINO,0,SD
262,LC-2019-0022026,2019,1,11,SD,MASCULINO,0,SD
263,LC-2019-0022105,2019,1,11,SD,MASCULINO,41,SD
264,LC-2019-0022106,2019,1,11,SD,SD,0,SD
265,LC-2019-0022174,2019,1,11,SD,MASCULINO,44,SD
266,LC-2019-0022256,2019,1,11,SD,FEMENINO,0,SD
267,LC-2019-0022273,2019,1,11,SD,MASCULINO,41,SD
268,LC-2019-0022275,2019,1,11,SD,FEMENINO,54,SD
269,LC-2019-0022298,2019,1,11,SD,FEMENINO,67,SD
270,LC-2019-0022348,2019,1,11,SD,FEMENINO,74,SD
271,LC-2019-0022492,2019,1,11,SD,FEMENINO,64,SD
272,LC-2019-0022559,2019,1,11,SD,MASCULINO,34,SD
273,LC-2019-0022606,2019,1,11,SD,FEMENINO,36,SD
274,LC-2019-0022650,2019,1,11,SD,FEMENINO,25,SD
275,LC-2019-0022670,2019,1,11,SD,FEMENINO,35,SD
276,LC-2019-0022774,2019,1,11,SD,MASCULINO,0,SD
277,LC-2019-0022790,2019,1,11,SD,FEMENINO,43,SD
278,LC-2019-0023022,2019,1,11,SD,MASCULINO,30,SD
279,LC-2019-0023164,2019,1,11,SD,FEMENINO,58,SD
280,LC-2019-0023309,2019,1,11,SD,MASCULINO,41,SD
281,LC-2019-0023360,2019,1,11,SD,MASCULINO,26,SD
282,LC-2019-0023362,2019,1,11,SD,MASCULINO,42,SD
283,LC-2019-0023485,2019,1,11,SD,MASCULINO,22,SD
284,LC-2019-0023488,2019,1,11,SD,MASCULINO,0,SD
285,LC-2019-0023539,2019,1,11,SD,MASCULINO,0,SD
286,LC-2019-0023555,2019,1,11,SD,MASCULINO,29,SD
287,LC-2019-0023599,2019,1,11,SD,FEMENINO,0,SD
288,LC-2019-0023727,2019,1,11,SD,MASCULINO,36,SD
289,LC-2019-0024103,2019,1,11,SD,MASCULINO,45,SD
290,LC-2019-0024454,2019,1,11,SD,MASCULINO,23,SD
291,LC-2019-0032150,2019,1,11,SD,MASCULINO,25,SD
292,LC-2019-0040263,2019,1,11,SD,FEMENINO,0,SD
293,LC-2019-0687058,2019,1,11,SD,MASCULINO,34,SD
294,LC-2019-0688515,2019,1,11,SD,MASCULINO,37,SD
295,LC-2019-0023692,2019,1,12,SD,FEMENINO,24,SD
296,LC-2019-0023692,2019,1,12,SD,MASCULINO,24,SD
297,LC-2019-0023777,2019,1,12,SD,MASCULINO,52,SD
298,LC-2019-0023860,2019,1,12,SD,MASCULINO,34,SD
299,LC-2019-0023860,2019,1,12,SD,MASCULINO,34,SD
300,LC-2019-0023868,2019,1,12,SD,MASCULINO,33,SD
301,LC-2019-0023906,2019,1,12,SD,FEMENINO,39,SD
302,LC-2019-0023906,2019,1,12,SD,MASCULINO,39,SD
303,LC-2019-0023906,2019,1,12,SD,FEMENINO,0,SD
304,LC-2019-0023906,2019,1,12,SD,MASCULINO,27,SD
305,LC-2019-0023906,2019,1,12,SD,MASCULINO,31,SD
306,LC-2019-0024132,2019,1,12,SD,MASCULINO,0,SD
307,LC-2019-0024257,2019,1,12,SD,FEMENINO,70,SD
308,LC-2019-0024265,2019,1,12,SD,FEMENINO,32,SD
309,LC-2019-0024269,2019,1,12,SD,MASCULINO,25,SD
310,LC-2019-0024408,2019,1,12,SD,MASCULINO,27,SD
311,LC-2019-0024465,2019,1,12,SD,MASCULINO,47,SD
312,LC-2019-0024488,2019,1,12,SD,MASCULINO,50,SD
313,LC-2019-0024600,2019,1,12,SD,FEMENINO,35,SD
314,LC-2019-0024719,2019,1,12,SD,MASCULINO,25,SD
315,LC-2019-0024752,2019,1,12,SD,MASCULINO,54,SD
316,LC-2019-0024755,2019,1,12,SD,MASCULINO,34,SD
317,LC-2019-0024755,2019,1,12,SD,FEMENINO,34,SD
318,LC-2019-0024778,2019,1,12,SD,FEMENINO,38,SD
319,LC-2019-0025473,2019,1,12,SD,MASCULINO,75,SD
320,LC-2019-0033162,2019,1,12,SD,FEMENINO,58,SD
321,LC-2019-0267484,2019,1,12,SD,MASCULINO,31,SD
322,LC-2019-0757409,2019,1,12,SD,MASCULINO,59,SD
323,LC-2019-0024930,2019,1,13,SD,MASCULINO,73,SD
324,LC-2019-0025033,2019,1,13,SD,FEMENINO,41,SD
325,LC-2019-0025067,2019,1,13,SD,MASCULINO,31,SD
326,LC-2019-0025088,2019,1,13,SD,MASCULINO,42,SD
327,LC-2019-0025109,2019,1,13,SD,MASCULINO,45,SD
328,LC-2019-0025109,2019,1,13,SD,FEMENINO,45,SD
329,LC-2019-0025134,2019,1,13,SD,FEMENINO,33,SD
330,LC-2019-0025154,2019,1,13,SD,FEMENINO,28,SD
331,LC-2019-0025411,2019,1,13,SD,FEMENINO,33,SD
332,LC-2019-0025411,2019,1,13,SD,MASCULINO,33,SD
333,LC-2019-0025411,2019,1,13,SD,MASCULINO,0,SD
334,LC-2019-0642028,2019,10,14,SD,MASCULINO,20,SD
335,LC-2019-0025428,2019,1,13,SD,FEMENINO,41,SD
336,LC-2019-0025428,2019,1,13,SD,FEMENINO,41,SD
337,LC-2019-0025548,2019,1,13,SD,MASCULINO,21,SD
338,LC-2019-0025548,2019,1,13,SD,MASCULINO,21,SD
339,LC-2019-0378357,2019,6,18,SD,MASCULINO,37,SD
340,LC-2019-0025730,2019,1,13,SD,MASCULINO,64,SD
341,LC-2019-0025730,2019,1,13,SD,MASCULINO,64,SD
342,LC-2019-0052617,2019,1,13,SD,MASCULINO,36,SD
343,LC-2019-0052617,2019,1,13,SD,FEMENINO,36,SD
344,LC-2019-0025021,2019,1,13,SD,MASCULINO,74,SD
345,LC-2019-0025831,2019,1,14,SD,MASCULINO,21,SD
346,LC-2019-0025831,2019,1,14,SD,FEMENINO,21,SD
347,LC-2019-0025841,2019,1,14,SD,FEMENINO,48,SD
348,LC-2019-0025841,2019,1,14,SD,FEMENINO,48,SD
349,LC-2019-0026116,2019,1,14,SD,MASCULINO,0,SD
350,LC-2019-0026619,2019,1,14,SD,MASCULINO,29,SD
351,LC-2019-0026635,2019,1,14,SD,FEMENINO,20,SD
352,LC-2019-0026635,2019,1,14,SD,MASCULINO,20,SD
353,LC-2019-0027065,2019,1,14,SD,MASCULINO,32,SD
354,LC-2019-0027083,2019,1,14,SD,MASCULINO,40,SD
355,LC-2019-0027156,2019,1,14,SD,MASCULINO,40,SD
356,LC-2019-0027204,2019,1,14,SD,FEMENINO,0,SD
357,LC-2019-0027208,2019,1,14,SD,MASCULINO,0,SD
358,LC-2019-0027290,2019,1,14,SD,MASCULINO,34,SD
359,LC-2019-0027336,2019,1,14,SD,MASCULINO,60,SD
360,LC-2019-0027551,2019,1,14,SD,SD,0,SD
361,LC-2019-0027620,2019,1,14,SD,FEMENINO,0,SD
362,LC-2019-0027679,2019,1,14,SD,FEMENINO,0,SD
363,LC-2019-0027748,2019,1,14,SD,MASCULINO,31,SD
364,LC-2019-0027769,2019,1,14,SD,FEMENINO,25,SD
365,LC-2019-0027969,2019,1,14,SD,MASCULINO,0,SD
366,LC-2019-0028124,2019,1,14,SD,FEMENINO,0,SD
367,LC-2019-0028203,2019,1,14,SD,MASCULINO,29,SD
368,LC-2019-0028228,2019,1,14,SD,MASCULINO,41,SD
369,LC-2019-0028228,2019,1,14,SD,MASCULINO,41,SD
370,LC-2019-0028384,2019,1,14,SD,MASCULINO,25,SD
371,LC-2019-0028499,2019,1,14,SD,MASCULINO,33,SD
372,LC-2019-0028597,2019,1,14,SD,MASCULINO,27,SD
373,LC-2019-0028635,2019,1,14,SD,SD,0,SD
374,LC-2019-0028641,2019,1,14,SD,MASCULINO,33,SD
375,LC-2019-0028794,2019,1,14,SD,MASCULINO,30,SD
376,LC-2019-0030752,2019,1,14,SD,FEMENINO,60,SD
377,LC-2019-0033421,2019,1,14,SD,MASCULINO,28,SD
378,LC-2019-0028657,2019,1,15,SD,FEMENINO,59,SD
379,LC-2019-0028657,2019,1,15,SD,MASCULINO,59,SD
380,LC-2019-0028657,2019,1,15,SD,MASCULINO,32,SD
381,LC-2019-0028702,2019,1,15,SD,MASCULINO,18,SD
382,LC-2019-0028702,2019,1,15,SD,MASCULINO,18,SD
383,LC-2019-0028731,2019,1,15,SD,FEMENINO,32,SD
384,LC-2019-0304750,2019,5,15,SD,MASCULINO,58,SD
385,LC-2019-0028731,2019,1,15,SD,FEMENINO,7,SD
386,LC-2019-0304750,2019,5,15,SD,MASCULINO,58,SD
387,LC-2019-0028796,2019,1,15,SD,MASCULINO,40,SD
388,LC-2019-0029010,2019,1,15,SD,MASCULINO,40,SD
389,LC-2019-0029065,2019,1,15,SD,FEMENINO,0,SD
390,LC-2019-0029065,2019,1,15,SD,FEMENINO,0,SD
391,LC-2019-0193078,2019,3,28,SD,FEMENINO,62,SD
392,LC-2019-0029336,2019,1,15,SD,MASCULINO,67,SD
393,LC-2019-0029346,2019,1,15,SD,MASCULINO,44,SD
394,LC-2019-0029347,2019,1,15,SD,MASCULINO,62,SD
395,LC-2019-0029367,2019,1,15,SD,SD,0,SD
396,LC-2019-0029566,2019,1,15,SD,MASCULINO,32,SD
397,LC-2019-0030128,2019,1,15,SD,FEMENINO,22,SD
398,LC-2019-0030272,2019,1,15,SD,FEMENINO,57,SD
399,LC-2019-0030300,2019,1,15,SD,SD,0,SD
400,LC-2019-0030352,2019,1,15,SD,MASCULINO,50,SD
401,LC-2019-0221536,2019,4,9,SD,FEMENINO,0,SD
402,LC-2019-0030566,2019,1,15,SD,MASCULINO,63,SD
403,LC-2019-0030574,2019,1,15,SD,FEMENINO,0,SD
404,LC-2019-0030658,2019,1,15,SD,FEMENINO,33,SD
405,LC-2019-0030786,2019,1,15,SD,FEMENINO,29,SD
406,LC-2019-0030792,2019,1,15,SD,MASCULINO,27,SD
407,LC-2019-0030793,2019,1,15,SD,MASCULINO,0,SD
408,LC-2019-0030858,2019,1,15,SD,SD,0,SD
409,LC-2019-0028731,2019,1,15,SD,FEMENINO,32,SD
410,LC-2019-0035369,2019,1,15,SD,MASCULINO,40,SD
